image_id;file_name;theme;location;motif_1;motif_2;season;contains_people;source;license;quality_score;cultural_value;notes
CHRD_REAL_0001;CHRD_REAL_0001.jpeg;Rock-cut Heritage;Ürgüp;Cave House;Stone House;Summer;No;;;;High;
CHRD_REAL_0002;CHRD_REAL_0002.jpeg;Traditional Crafts;Avanos;Workshop;;;No;;;;High;
CHRD_REAL_0003;CHRD_REAL_0003.jpeg;Valley;;Sunset;Landscape;Summer;No;;;;High;
CHRD_REAL_0004;CHRD_REAL_0004.jpeg;Village Square;Ürgüp;Street;Local People;Summer;No;;;;Medium;
CHRD_REAL_0005;CHRD_REAL_0005.jpeg;Fairy Chimney;;Rock Formation;Balloon;Summer;No;;;;High;
CHRD_REAL_0006;CHRD_REAL_0006.jpeg;Local Architecture;;Church;Monastery;Summer;No;;;;Low;
CHRD_REAL_0007;CHRD_REAL_0007.jpeg;Daily Life;;Stone House;Street;Summer;No;;;;Medium;
CHRD_REAL_0008;CHRD_REAL_0008.jpeg;Local Architecture;;Rock Formation;Stone House;Summer;No;;;;High;
CHRD_REAL_0009;CHRD_REAL_0009.jpeg;Daily Life;;Stone House;Pottery;Summer;No;;;;High;
CHRD_REAL_0010;CHRD_REAL_0010.jpeg;Traditional Crafts;;Pottery;Museum;Summer;No;;;;High;
CHRD_REAL_0011;CHRD_REAL_0011.jpeg;Natural Landscape;;Sunrise;Balloon;Summer;No;;;;High;
CHRD_REAL_0012;CHRD_REAL_0012.jpeg;Traditional Crafts;;Pottery;Museum;Summer;No;;;;High;
CHRD_REAL_0013;CHRD_REAL_0013.jpeg;Traditional Crafts;;Museum;;;No;;;;Low;
CHRD_REAL_0014;CHRD_REAL_0014.jpeg;Daily Life;;Valley;Rock Formation;Summer;No;;;;High;
CHRD_REAL_0015;CHRD_REAL_0015.jpeg;Village Square;;Rock Formation;Landscape;;No;;;;Low;
CHRD_REAL_0016;CHRD_REAL_0016.jpeg;Valley;;Rock Formation;Fairy Chimney;Summer;No;;;;High;
CHRD_REAL_0083;CHRD_REAL_0017.jpeg;Traditional Crafts;Avanos;Pottery;Potter;;Yes;;;;High;
CHRD_REAL_0018;CHRD_REAL_0018.jpeg;Daily Life;;Street;;Summer;No;;;;High;
CHRD_REAL_0019;CHRD_REAL_0019.jpeg;Village Square;Mustafapaşa;Stone House;;Winter;No;;;;High;
CHRD_REAL_0020;CHRD_REAL_0020.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;;;High;
CHRD_REAL_0021;CHRD_REAL_0021.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;;;High;
CHRD_REAL_0022;CHRD_REAL_0022.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;;;High;
CHRD_REAL_0023;CHRD_REAL_0023.jpeg;Natural Landscape;Avanos;River;Landscape;Summer;No;;;;Medium;
CHRD_REAL_0024;CHRD_REAL_0024.jpeg;Natural Landscape;Avanos;River;Landscape;Autumn;No;;;;Medium;
CHRD_REAL_0025;CHRD_REAL_0025.jpeg;Natural Landscape;Avanos;River;Landscape;Summer;No;;;;Medium;
CHRD_REAL_0026;CHRD_REAL_0026.jpeg;Natural Landscape;Avanos;River;Landscape;Winter;No;;;;Medium;
CHRD_REAL_0027;CHRD_REAL_0027.jpeg;Winter;;Stone House;Snow;Winter;No;;;;High;
CHRD_REAL_0028;CHRD_REAL_0028.jpeg;Valley;Gomeda Vadisi;Valley;;;No;;;;Medium;
CHRD_REAL_0029;CHRD_REAL_0029.jpeg;Traditional Crafts;Mustafapaşa;Pottery;Museum;;No;;;;Medium;
CHRD_REAL_0030;CHRD_REAL_0030.jpeg;Village Square;Ortahisar;Street;;;No;;;;High;
CHRD_REAL_0031;CHRD_REAL_0031.jpeg;Natural Landscape;Mustafapaşa;Museum;;;No;;;;Low;
CHRD_REAL_0032;CHRD_REAL_0032.jpeg;Daily Life;Ürgüp;Street;Pottery;;No;;;;Medium;
CHRD_REAL_0033;CHRD_REAL_0033.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;;;Medium;
CHRD_REAL_0034;CHRD_REAL_0034.jpeg;Natural Landscape;Avanos;River;Landscape;;No;;;;Medium;
CHRD_REAL_0035;CHRD_REAL_0035.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;;;Medium;
CHRD_REAL_0036;CHRD_REAL_0036.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;;;Medium;
CHRD_REAL_0037;CHRD_REAL_0037.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;;;Medium;
CHRD_REAL_0038;CHRD_REAL_0038.jpeg;Daily Life;Ürgüp;Stone House;Landscape;;No;;;;Medium;
CHRD_REAL_0039;CHRD_REAL_0039.jpeg;Valley;Göreme Açık Hava Müzesi;Valley;Landscape;;No;;;;Medium;
CHRD_REAL_0040;CHRD_REAL_0040.jpeg;Valley;Ürgüp;Valley;Landscape;;No;;;;High;
CHRD_REAL_0041;CHRD_REAL_0041.jpeg;Local Architecture;Mustafapaşa;Street;Stone House;;No;;;;Medium;
CHRD_REAL_0042;CHRD_REAL_0042.jpeg;Village Square;Uçhisar Kalesi;Stone House;Street;;Yes;;;;Low;
CHRD_REAL_0043;CHRD_REAL_0043.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;;;High;
CHRD_REAL_0044;CHRD_REAL_0044.jpeg;Fairy Chimney;Uçhisar ;Fairy Chimney;Rock Formation;;No;;;;High;
CHRD_REAL_0045;CHRD_REAL_0045.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;;;High;
CHRD_REAL_0046;CHRD_REAL_0046.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;;;High;
CHRD_REAL_0047;CHRD_REAL_0047.jpeg;Local Architecture;Göreme Açık Hava Müzesi;Church;Museum;;No;;;;Medium;
CHRD_REAL_0048;CHRD_REAL_0048.jpeg;Rock-cut Heritage;;Cave House;Landscape;;No;;;;High;
CHRD_REAL_0049;CHRD_REAL_0049.jpeg;Local Architecture;;Church;;;No;;;;Low;
CHRD_REAL_0050;CHRD_REAL_0050.jpeg;Local Architecture;Göreme Açık Hava Müzesi;Church;Museum;;No;;;;Medium;
CHRD_REAL_0051;CHRD_REAL_0051.jpeg;Rock-cut Heritage;Göreme Açık Hava Müzesi;Cave House;Fairy Chimney;;No;;;;High;
CHRD_REAL_0052;CHRD_REAL_0052.jpeg;Rock-cut Heritage;Göreme Açık Hava Müzesi;Cave House;Fairy Chimney;;No;;;;High;
CHRD_REAL_0053;CHRD_REAL_0053.jpeg;Daily Life;Göreme Açık Hava Müzesi;Local People;Agriculture;;No;;;;High;
CHRD_REAL_0054;CHRD_REAL_0054.jpeg;Traditional Crafts;;Pottery;Workshop;;No;;;;High;
CHRD_REAL_0082;CHRD_REAL_0055.jpeg;Village Square;Ortahisar;Street;;;No;;;;Low;
CHRD_REAL_0056;CHRD_REAL_0056.jpeg;Traditional Crafts;;Pottery;Museum;;No;;;;High;
CHRD_REAL_0057;CHRD_REAL_0057.jpeg;Valley;Kızılçukur;Valley;Rock Formation;;No;;;;Medium;
CHRD_REAL_0058;CHRD_REAL_0058.jpeg;Fairy Chimney;Kızılçukur;Fairy Chimney;Rock Formation;Summer;No;;;;High;
CHRD_REAL_0059;CHRD_REAL_0059.jpeg;Local Architecture;;Church;Museum;;No;;;;Low;
CHRD_REAL_0060;CHRD_REAL_0060.jpeg;Local Architecture;Kapadokya Üniversitesi;Local Architecture;;;No;;;;Low;
CHRD_REAL_0061;CHRD_REAL_0061.jpeg;Fairy Chimney;;Fairy Chimney;Landscape;;No;;;;High;
CHRD_REAL_0062;CHRD_REAL_0062.jpeg;Rock-cut Heritage;Kızılçukur;Cave House;Stone House;;No;;;;Medium;
CHRD_REAL_0063;CHRD_REAL_0063.jpeg;Local Architecture;Kızılçukur;Rock Formation;Fairy Chimney;;No;;;;High;
CHRD_REAL_0064;CHRD_REAL_0064.jpeg;Village Square;Ürgüp;Stone House;Landscape;;No;;;;Low;
