image_id;file_name;theme;location;motif_1;motif_2;season;contains_people;quality_score;cultural_value;notes
CHRD_REAL_0001;CHRD_REAL_0001.jpeg;Rock-cut Heritage;Ürgüp;Cave House;Stone House;Summer;No;;High;
CHRD_REAL_0004;CHRD_REAL_0004.jpeg;Village Square;Ürgüp;Street;Local People;Summer;No;;Medium;
CHRD_REAL_0005;CHRD_REAL_0005.jpeg;Fairy Chimney;;Rock Formation;Balloon;Summer;No;;High;
CHRD_REAL_0006;CHRD_REAL_0006.jpeg;Local Architecture;;Church;Monastery;Summer;No;;Low;
CHRD_REAL_0007;CHRD_REAL_0007.jpeg;Daily Life;;Stone House;Street;Summer;No;;Medium;
CHRD_REAL_0008;CHRD_REAL_0008.jpeg;Local Architecture;;Rock Formation;Stone House;Summer;No;;High;
CHRD_REAL_0009;CHRD_REAL_0009.jpeg;Daily Life;;Stone House;Pottery;Summer;No;;High;
CHRD_REAL_0011;CHRD_REAL_0011.jpeg;Natural Landscape;;Sunrise;Balloon;Summer;No;;High;
CHRD_REAL_0014;CHRD_REAL_0014.jpeg;Daily Life;;Valley;Rock Formation;Summer;No;;High;
CHRD_REAL_0015;CHRD_REAL_0015.jpeg;Village Square;;Rock Formation;Landscape;;No;;Low;
CHRD_REAL_0018;CHRD_REAL_0018.jpeg;Daily Life;;Street;;Summer;No;;High;
CHRD_REAL_0019;CHRD_REAL_0019.jpeg;Village Square;Mustafapaşa;Stone House;;Winter;No;;High;
CHRD_REAL_0020;CHRD_REAL_0020.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;High;
CHRD_REAL_0021;CHRD_REAL_0021.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;High;
CHRD_REAL_0022;CHRD_REAL_0022.jpeg;Rock-cut Heritage;;Rock Formation;Valley;Summer;No;;High;
CHRD_REAL_0023;CHRD_REAL_0023.jpeg;Natural Landscape;Avanos;River;Landscape;Summer;No;;Medium;
CHRD_REAL_0024;CHRD_REAL_0024.jpeg;Natural Landscape;Avanos;River;Landscape;Autumn;No;;Medium;
CHRD_REAL_0025;CHRD_REAL_0025.jpeg;Natural Landscape;Avanos;River;Landscape;Summer;No;;Medium;
CHRD_REAL_0026;CHRD_REAL_0026.jpeg;Natural Landscape;Avanos;River;Landscape;Winter;No;;Medium;
CHRD_REAL_0030;CHRD_REAL_0030.jpeg;Village Square;Ortahisar;Street;;;No;;High;
CHRD_REAL_0031;CHRD_REAL_0031.jpeg;Natural Landscape;Mustafapaşa;Museum;;;No;;Low;
CHRD_REAL_0032;CHRD_REAL_0032.jpeg;Daily Life;Ürgüp;Street;Pottery;;No;;Medium;
CHRD_REAL_0033;CHRD_REAL_0033.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;Medium;
CHRD_REAL_0034;CHRD_REAL_0034.jpeg;Natural Landscape;Avanos;River;Landscape;;No;;Medium;
CHRD_REAL_0035;CHRD_REAL_0035.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;Medium;
CHRD_REAL_0036;CHRD_REAL_0036.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;Medium;
CHRD_REAL_0037;CHRD_REAL_0037.jpeg;Local Architecture;Derinkuyu;Church;Museum;;No;;Medium;
CHRD_REAL_0038;CHRD_REAL_0038.jpeg;Daily Life;Ürgüp;Stone House;Landscape;;No;;Medium;
CHRD_REAL_0041;CHRD_REAL_0041.jpeg;Local Architecture;Mustafapaşa;Street;Stone House;;No;;Medium;
CHRD_REAL_0042;CHRD_REAL_0042.jpeg;Village Square;Uçhisar Kalesi;Stone House;Street;;Yes;;Low;
CHRD_REAL_0043;CHRD_REAL_0043.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0044;CHRD_REAL_0044.jpeg;Fairy Chimney;Uçhisar ;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0045;CHRD_REAL_0045.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0046;CHRD_REAL_0046.jpeg;Rock-cut Heritage;;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0047;CHRD_REAL_0047.jpeg;Local Architecture;Göreme Açık Hava Müzesi;Church;Museum;;No;;Medium;
CHRD_REAL_0048;CHRD_REAL_0048.jpeg;Rock-cut Heritage;;Cave House;Landscape;;No;;High;
CHRD_REAL_0049;CHRD_REAL_0049.jpeg;Local Architecture;;Church;;;No;;Low;
CHRD_REAL_0050;CHRD_REAL_0050.jpeg;Local Architecture;Göreme Açık Hava Müzesi;Church;Museum;;No;;Medium;
CHRD_REAL_0051;CHRD_REAL_0051.jpeg;Rock-cut Heritage;Göreme Açık Hava Müzesi;Cave House;Fairy Chimney;;No;;High;
CHRD_REAL_0052;CHRD_REAL_0052.jpeg;Rock-cut Heritage;Göreme Açık Hava Müzesi;Cave House;Fairy Chimney;;No;;High;
CHRD_REAL_0053;CHRD_REAL_0053.jpeg;Daily Life;Göreme Açık Hava Müzesi;Local People;Agriculture;;No;;High;
CHRD_REAL_0082;CHRD_REAL_0055.jpeg;Village Square;Ortahisar;Street;;;No;;Low;
CHRD_REAL_0058;CHRD_REAL_0058.jpeg;Fairy Chimney;Kızılçukur;Fairy Chimney;Rock Formation;Summer;No;;High;
CHRD_REAL_0059;CHRD_REAL_0059.jpeg;Local Architecture;;Church;Museum;;No;;Low;
CHRD_REAL_0060;CHRD_REAL_0060.jpeg;Local Architecture;Kapadokya Üniversitesi;Local Architecture;;;No;;Low;
CHRD_REAL_0061;CHRD_REAL_0061.jpeg;Fairy Chimney;;Fairy Chimney;Landscape;;No;;High;
CHRD_REAL_0062;CHRD_REAL_0062.jpeg;Rock-cut Heritage;Kızılçukur;Cave House;Stone House;;No;;Medium;
CHRD_REAL_0063;CHRD_REAL_0063.jpeg;Local Architecture;Kızılçukur;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0064;CHRD_REAL_0064.jpeg;Village Square;Ürgüp;Stone House;Landscape;;No;;Low;
CHRD_REAL_0065;CHRD_REAL_0065.jpeg;Daily Life;Ürgüp;Stone House;Pottery;;Yes;;High;
CHRD_REAL_0067;CHRD_REAL_0067.jpeg;Fairy Chimney;Kızılçukur;Rock Formation;Landscape;;No;;High;
CHRD_REAL_0068;CHRD_REAL_0068.jpeg;Fairy Chimney;Kızılçukur;Rock Formation;Landscape;;Yes;;Medium;
CHRD_REAL_0069;CHRD_REAL_0069.jpeg;Rock-cut Heritage;;Church;Museum;;No;;Low;
CHRD_REAL_0070;CHRD_REAL_0070.jpeg;Rock-cut Heritage;;Cave House;Valley;;No;;High;
CHRD_REAL_0071;CHRD_REAL_0071.jpeg;Fairy Chimney;;Rock Formation;Valley;;No;;High;
CHRD_REAL_0072;CHRD_REAL_0072.jpeg;Daily Life;Ürgüp;Stone House;;;No;;Low;
CHRD_REAL_0073;CHRD_REAL_0073.jpeg;Local Architecture;Mustafapaşa;Stone House;Museum;;No;;Low;
CHRD_REAL_0074;CHRD_REAL_0074.jpeg;Fairy Chimney;;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0075;CHRD_REAL_0075.jpeg;Fairy Chimney;;Rock Formation;Fairy Chimney;;No;;High;
CHRD_REAL_0076;CHRD_REAL_0076.jpeg;Rock-cut Heritage;;Cave House;Stone House;;No;;High;
CHRD_REAL_0077;CHRD_REAL_0077.jpeg;Village Square;Mustafapaşa;Stone House;Street;;No;;Medium;
CHRD_REAL_0078;CHRD_REAL_0078.jpeg;Village Square;Ürgüp;Stone House;Street;;No;;Low;
CHRD_REAL_0079;CHRD_REAL_0079.jpeg;Village Square;Mustafapaşa;Stone House;Street;;No;;Medium;
CHRD_REAL_0080;CHRD_REAL_0080.jpeg;Village Square;Avanos;Stone House;Street;;Yes;;Medium;
CHRD_REAL_0082;CHRD_REAL_0082.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0083;CHRD_REAL_0083.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0084;CHRD_REAL_0084.jpeg;Daily Life;;Hot Air Balloon;Sunrise;Summer;No;;High;
CHRD_REAL_0085;CHRD_REAL_0085.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0086;CHRD_REAL_0086.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0087;CHRD_REAL_0087.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0088;CHRD_REAL_0088.jpeg;Daily Life;;Hot Air Balloon;Sunrise;Summer;No;;High;
CHRD_REAL_0089;CHRD_REAL_0089.jpeg;Daily Life;;Hot Air Balloon;Sunrise;Summer;No;;High;
CHRD_REAL_0090;CHRD_REAL_0090.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0091;CHRD_REAL_0091.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0092;CHRD_REAL_0092.jpeg;Local Architecture;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0093;CHRD_REAL_0093.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0094;CHRD_REAL_0094.jpeg;Daily Life;;Hot Air Balloon;Airship;Summer;No;;High;
CHRD_REAL_0095;CHRD_REAL_0095.jpeg;Local Architecture;;Hot Air Balloon;Landscape;Summer;No;;High;
CHRD_REAL_0096;CHRD_REAL_0096.jpeg;Local Architecture;;Hot Air Balloon;Landscape;Summer;No;;High;
CHRD_REAL_0097;CHRD_REAL_0097.jpeg;Local Architecture;;Cave House;Museum;;No;;High;
CHRD_REAL_0098;CHRD_REAL_0098.jpeg;Local Architecture;;landscape;cave house;;No;;Medium;
CHRD_REAL_0099;CHRD_REAL_0099.jpeg;Rock-cut Heritage;;landscape;Museum;;No;;Medium;
CHRD_REAL_0101;CHRD_REAL_0101.jpeg;Local Architecture;;Fairy Chimney;Rock Formation;;No;;High;
CHRD_REAL_0103;CHRD_REAL_0103.jpeg;Rock-cut Heritage;;Rock Formation;cave house;;No;;Medium;
CHRD_REAL_0104;CHRD_REAL_0104.jpeg;Daily Life;;Cave House;Stone House;;No;;Medium;
CHRD_REAL_0105;CHRD_REAL_0105.jpeg;Daily Life;;Cave House;Stone House;;No;;Medium;
CHRD_REAL_0106;CHRD_REAL_0106.jpeg;Daily Life;;Cave House;Stone House;;No;;Medium;
CHRD_REAL_0107;CHRD_REAL_0107.jpeg;Daily Life;;Cave House;sunset;;No;;Medium;
