file_name,theme,most_similar_file,most_similar_theme,similarity_score
CHRD_REAL_0001.jpeg,Rock-cut Heritage,CHRD_REAL_0021.jpeg,Rock-cut Heritage,0.8148
CHRD_REAL_0004.jpeg,Village Square,CHRD_REAL_0079.jpeg,Village Square,0.7023
CHRD_REAL_0005.jpeg,Fairy Chimney,CHRD_REAL_0058.jpeg,Fairy Chimney,0.722
CHRD_REAL_0006.jpeg,Local Architecture,CHRD_REAL_0083.jpeg,Daily Life,0.629
CHRD_REAL_0007.jpeg,Daily Life,CHRD_REAL_0031.jpeg,Natural Landscape,0.5827
CHRD_REAL_0008.jpeg,Local Architecture,CHRD_REAL_0090.jpeg,Daily Life,0.6716
CHRD_REAL_0009.jpeg,Daily Life,CHRD_REAL_0060.jpeg,Local Architecture,0.5332
CHRD_REAL_0011.jpeg,Natural Landscape,CHRD_REAL_0095.jpeg,Local Architecture,0.7171
CHRD_REAL_0014.jpeg,Daily Life,CHRD_REAL_0050.jpeg,Local Architecture,0.5733
CHRD_REAL_0015.jpeg,Village Square,CHRD_REAL_0005.jpeg,Fairy Chimney,0.6868
CHRD_REAL_0018.jpeg,Daily Life,CHRD_REAL_0041.jpeg,Local Architecture,0.6595
CHRD_REAL_0019.jpeg,Village Square,CHRD_REAL_0035.jpeg,Local Architecture,0.677
CHRD_REAL_0020.jpeg,Rock-cut Heritage,CHRD_REAL_0051.jpeg,Rock-cut Heritage,0.7813
CHRD_REAL_0021.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8966
CHRD_REAL_0022.jpeg,Rock-cut Heritage,CHRD_REAL_0021.jpeg,Rock-cut Heritage,0.8966
CHRD_REAL_0023.jpeg,Natural Landscape,CHRD_REAL_0034.jpeg,Natural Landscape,0.7474
CHRD_REAL_0024.jpeg,Natural Landscape,CHRD_REAL_0025.jpeg,Natural Landscape,0.5722
CHRD_REAL_0025.jpeg,Natural Landscape,CHRD_REAL_0004.jpeg,Village Square,0.6407
CHRD_REAL_0026.jpeg,Natural Landscape,CHRD_REAL_0088.jpeg,Daily Life,0.5927
CHRD_REAL_0030.jpeg,Village Square,CHRD_REAL_0080.jpeg,Village Square,0.7064
CHRD_REAL_0031.jpeg,Natural Landscape,CHRD_REAL_0073.jpeg,Local Architecture,0.8362
CHRD_REAL_0032.jpeg,Daily Life,CHRD_REAL_0089.jpeg,Daily Life,0.7936
CHRD_REAL_0033.jpeg,Local Architecture,CHRD_REAL_0038.jpeg,Daily Life,0.6371
CHRD_REAL_0034.jpeg,Natural Landscape,CHRD_REAL_0023.jpeg,Natural Landscape,0.7474
CHRD_REAL_0035.jpeg,Local Architecture,CHRD_REAL_0019.jpeg,Village Square,0.677
CHRD_REAL_0036.jpeg,Local Architecture,CHRD_REAL_0097.jpeg,Local Architecture,0.5943
CHRD_REAL_0037.jpeg,Local Architecture,CHRD_REAL_0035.jpeg,Local Architecture,0.6716
CHRD_REAL_0038.jpeg,Daily Life,CHRD_REAL_0064.jpeg,Village Square,0.8511
CHRD_REAL_0041.jpeg,Local Architecture,CHRD_REAL_0032.jpeg,Daily Life,0.7432
CHRD_REAL_0042.jpeg,Village Square,CHRD_REAL_0091.jpeg,Daily Life,0.7178
CHRD_REAL_0043.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8402
CHRD_REAL_0044.jpeg,Fairy Chimney,CHRD_REAL_0075.jpeg,Fairy Chimney,0.835
CHRD_REAL_0045.jpeg,Rock-cut Heritage,CHRD_REAL_0038.jpeg,Daily Life,0.6674
