file,path,rows,columns
chrd_similarity_results.csv,C:\CHRD_Project\results\chrd_similarity_results.csv,82,"file_name, theme, most_similar_file, most_similar_theme, similarity_score"
dataset_summary.csv,C:\CHRD_Project\results\dataset_summary.csv,6,"Statistic, Value"
improved_similarity.csv,C:\CHRD_Project\results\improved_similarity.csv,3,"Metric, Similarity"
chrd_similarity_results.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\chrd_similarity_results.csv,82,"file_name, theme, most_similar_file, most_similar_theme, similarity_score"
dataset_summary.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\dataset_summary.csv,6,"Statistic, Value"
improved_similarity.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\improved_similarity.csv,3,"Metric, Similarity"
prompt_statistics.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\prompt_statistics.csv,3,"Unnamed: 0, Türkçe, İngilizce"
prompt_summary.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\prompt_summary.csv,1,"Unnamed: 0, Toplam Prompt, TR Ortalama Kelime, EN Ortalama Kelime, Tema Sayısı, Motif Sayısı"
real_image_similarity.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\real_image_similarity.csv,82,"file_name, theme, most_similar_file, most_similar_theme, similarity_score"
similarity_results.csv,C:\CHRD_Project\results\poster_final\csv\notebook08\similarity_results.csv,3,"Comparison, Average Cosine Similarity"
notebook08_results_inventory.csv,C:\CHRD_Project\results\poster_final\csv\notebook08_results_inventory.csv,7,"name, type, rows, columns, columns_list"
poster_metrics_current.csv,C:\CHRD_Project\results\poster_final\poster_metrics_current.csv,12,"Category, Metric, Value"
prompt_statistics.csv,C:\CHRD_Project\results\prompt_statistics.csv,3,"Unnamed: 0, Türkçe, İngilizce"
prompt_summary.csv,C:\CHRD_Project\results\prompt_summary.csv,1,"Unnamed: 0, Toplam Prompt, TR Ortalama Kelime, EN Ortalama Kelime, Tema Sayısı, Motif Sayısı"
real_image_similarity.csv,C:\CHRD_Project\results\real_image_similarity.csv,82,"file_name, theme, most_similar_file, most_similar_theme, similarity_score"
similarity_results.csv,C:\CHRD_Project\results\similarity_results.csv,3,"Comparison, Average Cosine Similarity"
