file_name,theme,most_similar_file,most_similar_theme,similarity_score
CHRD_REAL_0021.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8965727
CHRD_REAL_0022.jpeg,Rock-cut Heritage,CHRD_REAL_0021.jpeg,Rock-cut Heritage,0.8965727
CHRD_REAL_0047.jpeg,Local Architecture,CHRD_REAL_0050.jpeg,Local Architecture,0.8948452
CHRD_REAL_0050.jpeg,Local Architecture,CHRD_REAL_0047.jpeg,Local Architecture,0.8948452
CHRD_REAL_0052.jpeg,Rock-cut Heritage,CHRD_REAL_0051.jpeg,Rock-cut Heritage,0.8866316
CHRD_REAL_0051.jpeg,Rock-cut Heritage,CHRD_REAL_0052.jpeg,Rock-cut Heritage,0.8866316
CHRD_REAL_0074.jpeg,Fairy Chimney,CHRD_REAL_0075.jpeg,Fairy Chimney,0.86800224
CHRD_REAL_0075.jpeg,Fairy Chimney,CHRD_REAL_0074.jpeg,Fairy Chimney,0.86800224
CHRD_REAL_0058.jpeg,Fairy Chimney,CHRD_REAL_0074.jpeg,Fairy Chimney,0.8517065
CHRD_REAL_0038.jpeg,Daily Life,CHRD_REAL_0064.jpeg,Village Square,0.85110915
CHRD_REAL_0064.jpeg,Village Square,CHRD_REAL_0038.jpeg,Daily Life,0.85110915
CHRD_REAL_0071.jpeg,Fairy Chimney,CHRD_REAL_0067.jpeg,Fairy Chimney,0.8430178
CHRD_REAL_0067.jpeg,Fairy Chimney,CHRD_REAL_0071.jpeg,Fairy Chimney,0.8430178
CHRD_REAL_0043.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.84017587
CHRD_REAL_0073.jpeg,Local Architecture,CHRD_REAL_0031.jpeg,Natural Landscape,0.8362316
CHRD_REAL_0031.jpeg,Natural Landscape,CHRD_REAL_0073.jpeg,Local Architecture,0.8362316
CHRD_REAL_0044.jpeg,Fairy Chimney,CHRD_REAL_0075.jpeg,Fairy Chimney,0.8349694
CHRD_REAL_0076.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8239778
CHRD_REAL_0061.jpeg,Fairy Chimney,CHRD_REAL_0071.jpeg,Fairy Chimney,0.8179556
CHRD_REAL_0001.jpeg,Rock-cut Heritage,CHRD_REAL_0021.jpeg,Rock-cut Heritage,0.8148376
CHRD_REAL_0070.jpeg,Rock-cut Heritage,CHRD_REAL_0022.jpeg,Rock-cut Heritage,0.8045132
CHRD_REAL_0087.jpeg,Daily Life,CHRD_REAL_0090.jpeg,Daily Life,0.7981745
CHRD_REAL_0090.jpeg,Daily Life,CHRD_REAL_0087.jpeg,Daily Life,0.7981745
CHRD_REAL_0089.jpeg,Daily Life,CHRD_REAL_0032.jpeg,Daily Life,0.7935847
