Section,Metric,Value
Dataset,Total Images,164
Dataset,Embedding Count,82
Dataset,Theme Count,6
Dataset,Location Count,11
Dataset,Primary Motif Count,20
Dataset,Secondary Motif Count,20
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Similarity,,
Grounded Similarity,Nearest Real-TR,0.6112279
Grounded Similarity,Nearest Real-EN,0.5781631
Grounded Similarity,Nearest TR-EN,0.7509119
